"","V1"
"ThomasJefferson-2_62",15
"ThomasJefferson-2_63",15
"ThomasJefferson-2_64",15
"ThomasJefferson-2_65",4
"ThomasJefferson-2_66",5
"ThomasJefferson-2_67",4
"ThomasJefferson-2_68",4
"ThomasJefferson-2_69",7
"ThomasJefferson-2_70",5
"JamesMadison-1_2",5
"JamesMadison-1_3",4
"JamesMadison-1_4",4
"JamesMadison-1_5",4
"JamesMadison-1_6",12
"JamesMadison-1_7",12
"JamesMadison-1_8",12
"JamesMadison-1_9",15
"JamesMadison-1_10",15
"JamesMadison-1_11",2
"JamesMadison-1_12",15
"JamesMadison-1_13",2
"JamesMadison-1_14",2
"JamesMadison-1_15",5
"JamesMadison-1_16",5
"JamesMadison-1_17",15
"JamesMadison-1_18",15
"JamesMadison-1_19",15
"JamesMadison-1_20",15
"JamesMadison-1_21",15
"JamesMadison-1_22",10
"JamesMadison-1_23",10
"JamesMadison-1_24",10
"JamesMadison-1_25",10
"JamesMadison-1_26",10
"JamesMadison-1_27",1
"JamesMadison-1_28",1
"JamesMadison-1_29",11
"JamesMadison-1_30",11
"JamesMadison-1_31",2
"JamesMadison-1_32",2
"JamesMadison-1_33",4
"JamesMadison-1_34",4
"JamesMadison-1_35",4
"JamesMadison-1_36",4
"JamesMadison-2_2",5
"JamesMadison-2_3",5
"JamesMadison-2_4",4
"JamesMadison-2_5",4
"JamesMadison-2_6",2
"JamesMadison-2_7",8
"JamesMadison-2_8",8
"JamesMadison-2_9",8
"JamesMadison-2_10",8
"JamesMadison-2_11",8
"JamesMadison-2_12",1
"JamesMadison-2_13",2
"JamesMadison-2_14",2
"JamesMadison-2_15",11
"JamesMadison-2_16",11
"JamesMadison-2_17",11
"JamesMadison-2_18",2
"JamesMadison-2_19",2
"JamesMadison-2_20",2
"JamesMadison-2_21",2
"JamesMadison-2_22",2
"JamesMadison-2_23",4
"JamesMadison-2_24",4
"JamesMadison-2_25",11
"JamesMadison-2_26",11
"JamesMadison-2_27",11
"JamesMadison-2_28",11
"JamesMadison-2_29",11
"JamesMadison-2_30",12
"JamesMadison-2_31",12
"JamesMadison-2_32",12
"JamesMadison-2_33",12
"JamesMadison-2_34",12
"JamesMadison-2_35",11
"JamesMadison-2_36",4
"JamesMadison-2_37",11
"JamesMadison-2_38",11
"JamesMonroe-1_2",4
"JamesMonroe-1_3",4
"JamesMonroe-1_4",4
"JamesMonroe-1_5",4
"JamesMonroe-1_6",4
"JamesMonroe-1_7",4
"JamesMonroe-1_8",4
"JamesMonroe-1_9",4
"JamesMonroe-1_10",10
"JamesMonroe-1_11",10
"JamesMonroe-1_12",4
"JamesMonroe-1_13",4
"JamesMonroe-1_14",4
"JamesMonroe-1_15",15
"JamesMonroe-1_16",11
"JamesMonroe-1_17",10
"JamesMonroe-1_18",10
"JamesMonroe-1_19",10
"JamesMonroe-1_20",10
"JamesMonroe-1_21",8
"JamesMonroe-1_22",8
"JamesMonroe-1_23",4
"JamesMonroe-1_24",8
"JamesMonroe-1_25",11
"JamesMonroe-1_26",11
"JamesMonroe-1_27",11
"JamesMonroe-1_28",11
"JamesMonroe-1_29",4
"JamesMonroe-1_30",4
"JamesMonroe-1_31",4
"JamesMonroe-1_32",4
"JamesMonroe-1_33",1
"JamesMonroe-1_34",10
"JamesMonroe-1_35",8
"JamesMonroe-1_36",10
"JamesMonroe-1_37",4
"JamesMonroe-1_38",4
"JamesMonroe-1_39",4
"JamesMonroe-1_40",11
"JamesMonroe-1_41",4
"JamesMonroe-1_42",2
"JamesMonroe-1_43",10
"JamesMonroe-1_44",12
"JamesMonroe-1_45",12
"JamesMonroe-1_46",12
"JamesMonroe-1_47",12
"JamesMonroe-1_48",4
"JamesMonroe-1_49",4
"JamesMonroe-1_50",4
"JamesMonroe-1_51",4
"JamesMonroe-1_52",10
"JamesMonroe-1_53",10
"JamesMonroe-1_54",1
"JamesMonroe-1_55",4
"JamesMonroe-1_56",4
"JamesMonroe-1_57",4
"JamesMonroe-1_58",2
"JamesMonroe-1_59",6
"JamesMonroe-1_60",10
"JamesMonroe-1_61",4
"JamesMonroe-1_62",4
"JamesMonroe-1_63",12
"JamesMonroe-1_64",12
"JamesMonroe-1_65",11
"JamesMonroe-1_66",11
"JamesMonroe-1_67",11
"JamesMonroe-1_68",4
"JamesMonroe-1_69",5
"JamesMonroe-1_70",15
"JamesMonroe-1_71",15
"JamesMonroe-1_72",15
"JamesMonroe-1_73",15
"JamesMonroe-1_74",11
"JamesMonroe-1_75",11
"JamesMonroe-1_76",11
"JamesMonroe-1_77",11
"JamesMonroe-1_78",11
"JamesMonroe-1_79",11
"JamesMonroe-1_80",11
"JamesMonroe-1_81",11
"JamesMonroe-1_82",11
"JamesMonroe-1_83",4
"JamesMonroe-1_84",11
"JamesMonroe-1_85",1
"JamesMonroe-1_86",1
"JamesMonroe-1_87",11
"JamesMonroe-1_88",11
"JamesMonroe-1_89",11
"JamesMonroe-1_90",11
"JamesMonroe-1_91",11
"JamesMonroe-1_92",11
"JamesMonroe-1_93",4
"JamesMonroe-1_94",4
"JamesMonroe-1_95",11
"JamesMonroe-1_96",4
"JamesMonroe-1_97",12
"JamesMonroe-1_98",15
"JamesMonroe-1_99",15
"JamesMonroe-1_100",1
"JamesMonroe-1_101",11
"JamesMonroe-1_102",11
"JamesMonroe-1_103",11
"JamesMonroe-1_104",1
"JamesMonroe-1_105",1
"JamesMonroe-1_106",1
"JamesMonroe-1_107",1
"JamesMonroe-1_108",1
"JamesMonroe-1_109",1
"JamesMonroe-1_110",3
"JamesMonroe-1_111",3
"JamesMonroe-1_112",3
"JamesMonroe-1_113",5
"JamesMonroe-1_114",5
"JamesMonroe-1_115",5
"JamesMonroe-1_116",15
"JamesMonroe-1_117",15
"JamesMonroe-1_118",15
"JamesMonroe-1_119",10
"JamesMonroe-1_120",11
"JamesMonroe-1_121",6
"JamesMonroe-1_122",4
"JamesMonroe-1_123",8
"JamesMonroe-1_124",4
"JamesMonroe-1_125",15
"JamesMonroe-1_126",4
"JamesMonroe-1_127",12
"JamesMonroe-1_128",12
"JamesMonroe-1_129",10
"JamesMonroe-1_130",10
"JamesMonroe-1_131",2
"JamesMonroe-1_132",4
"JamesMonroe-1_133",4
"JamesMonroe-1_134",4
"JamesMonroe-1_135",4
"JamesMonroe-2_2",4
"JamesMonroe-2_3",4
"JamesMonroe-2_4",4
"JamesMonroe-2_5",4
"JamesMonroe-2_6",4
"JamesMonroe-2_7",4
"JamesMonroe-2_8",8
"JamesMonroe-2_9",7
"JamesMonroe-2_10",5
"JamesMonroe-2_11",7
"JamesMonroe-2_12",4
"JamesMonroe-2_13",1
"JamesMonroe-2_14",5
"JamesMonroe-2_15",11
"JamesMonroe-2_16",4
"JamesMonroe-2_17",11
"JamesMonroe-2_18",11
"JamesMonroe-2_19",11
"JamesMonroe-2_20",11
"JamesMonroe-2_21",11
"JamesMonroe-2_22",11
"JamesMonroe-2_23",11
"JamesMonroe-2_24",11
"JamesMonroe-2_25",11
"JamesMonroe-2_26",11
"JamesMonroe-2_27",11
"JamesMonroe-2_28",11
"JamesMonroe-2_29",11
"JamesMonroe-2_30",11
"JamesMonroe-2_31",10
"JamesMonroe-2_32",15
"JamesMonroe-2_33",15
"JamesMonroe-2_34",15
"JamesMonroe-2_35",11
"JamesMonroe-2_36",4
"JamesMonroe-2_37",11
"JamesMonroe-2_38",1
"JamesMonroe-2_39",11
"JamesMonroe-2_40",11
"JamesMonroe-2_41",11
"JamesMonroe-2_42",11
"JamesMonroe-2_43",4
"JamesMonroe-2_44",4
"JamesMonroe-2_45",7
"JamesMonroe-2_46",15
"JamesMonroe-2_47",7
"JamesMonroe-2_48",15
"JamesMonroe-2_49",4
"JamesMonroe-2_50",15
"JamesMonroe-2_51",15
"JamesMonroe-2_52",11
"JamesMonroe-2_53",11
"JamesMonroe-2_54",11
"JamesMonroe-2_55",11
"JamesMonroe-2_56",11
"JamesMonroe-2_57",11
"JamesMonroe-2_58",2
"JamesMonroe-2_59",7
"JamesMonroe-2_60",7
"JamesMonroe-2_61",7
"JamesMonroe-2_62",7
"JamesMonroe-2_63",15
"JamesMonroe-2_64",11
"JamesMonroe-2_65",11
"JamesMonroe-2_66",11
"JamesMonroe-2_67",11
"JamesMonroe-2_68",11
"JamesMonroe-2_69",11
"JamesMonroe-2_70",11
"JamesMonroe-2_71",11
"JamesMonroe-2_72",11
"JamesMonroe-2_73",11
"JamesMonroe-2_74",11
"JamesMonroe-2_75",11
"JamesMonroe-2_76",11
"JamesMonroe-2_77",11
"JamesMonroe-2_78",11
"JamesMonroe-2_79",11
"JamesMonroe-2_80",11
"JamesMonroe-2_81",1
"JamesMonroe-2_82",1
"JamesMonroe-2_83",1
"JamesMonroe-2_84",1
"JamesMonroe-2_85",4
"JamesMonroe-2_86",1
"JamesMonroe-2_87",4
"JamesMonroe-2_88",1
"JamesMonroe-2_89",5
"JamesMonroe-2_90",1
"JamesMonroe-2_91",15
"JamesMonroe-2_92",15
"JamesMonroe-2_93",4
"JamesMonroe-2_94",15
"JamesMonroe-2_95",1
"JamesMonroe-2_96",1
"JamesMonroe-2_97",1
"JamesMonroe-2_98",1
"JamesMonroe-2_99",9
"JamesMonroe-2_100",15
"JamesMonroe-2_101",11
"JamesMonroe-2_102",5
"JamesMonroe-2_103",10
"JamesMonroe-2_104",11
"JamesMonroe-2_105",11
"JamesMonroe-2_106",11
"JamesMonroe-2_107",12
"JamesMonroe-2_108",1
"JamesMonroe-2_109",1
"JamesMonroe-2_110",4
"JamesMonroe-2_111",15
"JamesMonroe-2_112",10
"JamesMonroe-2_113",2
"JamesMonroe-2_114",2
"JamesMonroe-2_115",2
"JamesMonroe-2_116",11
"JamesMonroe-2_117",4
"JamesMonroe-2_118",4
"JamesMonroe-2_119",4
"JamesMonroe-2_120",11
"JamesMonroe-2_121",11
"JamesMonroe-2_122",1
"JamesMonroe-2_123",6
"JamesMonroe-2_124",10
"JamesMonroe-2_125",10
"JamesMonroe-2_126",4
"JamesMonroe-2_127",10
"JamesMonroe-2_128",4
"JamesMonroe-2_129",4
"JamesMonroe-2_130",10
"JamesMonroe-2_131",10
"JamesMonroe-2_132",4
"JamesMonroe-2_133",4
"JamesMonroe-2_134",11
"JamesMonroe-2_135",11
"JamesMonroe-2_136",11
"JamesMonroe-2_137",11
"JamesMonroe-2_138",11
"JamesMonroe-2_139",11
"JamesMonroe-2_140",11
"JamesMonroe-2_141",5
"JamesMonroe-2_142",5
"JohnQuincyAdams-1_2",5
"JohnQuincyAdams-1_3",10
"JohnQuincyAdams-1_4",10
"JohnQuincyAdams-1_5",4
"JohnQuincyAdams-1_6",4
"JohnQuincyAdams-1_7",4
"JohnQuincyAdams-1_8",4
"JohnQuincyAdams-1_9",7
"JohnQuincyAdams-1_10",4
"JohnQuincyAdams-1_11",7
"JohnQuincyAdams-1_12",7
"JohnQuincyAdams-1_13",7
"JohnQuincyAdams-1_14",13
"JohnQuincyAdams-1_15",11
"JohnQuincyAdams-1_16",11
"JohnQuincyAdams-1_17",11
"JohnQuincyAdams-1_18",11
"JohnQuincyAdams-1_19",11
"JohnQuincyAdams-1_20",11
"JohnQuincyAdams-1_21",12
"JohnQuincyAdams-1_22",12
"JohnQuincyAdams-1_23",11
"JohnQuincyAdams-1_24",13
"JohnQuincyAdams-1_25",13
"JohnQuincyAdams-1_26",10
"JohnQuincyAdams-1_27",1
"JohnQuincyAdams-1_28",14
"JohnQuincyAdams-1_29",12
"JohnQuincyAdams-1_30",2
"JohnQuincyAdams-1_31",4
"JohnQuincyAdams-1_32",4
"JohnQuincyAdams-1_33",4
"JohnQuincyAdams-1_34",4
"JohnQuincyAdams-1_35",15
"JohnQuincyAdams-1_36",4
"JohnQuincyAdams-1_37",4
"JohnQuincyAdams-1_38",4
"JohnQuincyAdams-1_39",4
"JohnQuincyAdams-1_40",4
"JohnQuincyAdams-1_41",4
"JohnQuincyAdams-1_42",11
"JohnQuincyAdams-1_43",11
"JohnQuincyAdams-1_44",14
"JohnQuincyAdams-1_45",14
"JohnQuincyAdams-1_46",10
"JohnQuincyAdams-1_47",10
"JohnQuincyAdams-1_48",10
"JohnQuincyAdams-1_49",1
"JohnQuincyAdams-1_50",1
"JohnQuincyAdams-1_51",6
"JohnQuincyAdams-1_52",10
"JohnQuincyAdams-1_53",10
"JohnQuincyAdams-1_54",10
"JohnQuincyAdams-1_55",8
"JohnQuincyAdams-1_56",8
"JohnQuincyAdams-1_57",8
"JohnQuincyAdams-1_58",8
"JohnQuincyAdams-1_59",8
"JohnQuincyAdams-1_60",1
"JohnQuincyAdams-1_61",10
"JohnQuincyAdams-1_62",10
"JohnQuincyAdams-1_63",10
"JohnQuincyAdams-1_64",10
"JohnQuincyAdams-1_65",10
"JohnQuincyAdams-1_66",10
"JohnQuincyAdams-1_67",10
"JohnQuincyAdams-1_68",4
"JohnQuincyAdams-1_69",4
"JohnQuincyAdams-1_70",4
"JohnQuincyAdams-1_71",4
"JohnQuincyAdams-1_72",5
"JohnQuincyAdams-1_73",15
"JohnQuincyAdams-1_74",15
"JohnQuincyAdams-1_75",15
"JohnQuincyAdams-1_76",15
"JohnQuincyAdams-1_77",11
"JohnQuincyAdams-1_78",11
"JohnQuincyAdams-1_79",11
"JohnQuincyAdams-1_80",10
"JohnQuincyAdams-1_81",1
"JohnQuincyAdams-1_82",1
"JohnQuincyAdams-1_83",5
"JohnQuincyAdams-1_84",11
"JohnQuincyAdams-1_85",1
"JohnQuincyAdams-1_86",11
"JohnQuincyAdams-1_87",11
"JohnQuincyAdams-1_88",11
"JohnQuincyAdams-1_89",11
"JohnQuincyAdams-1_90",11
"JohnQuincyAdams-1_91",5
"JohnQuincyAdams-1_92",4
"JohnQuincyAdams-1_93",4
"JohnQuincyAdams-1_94",4
"JohnQuincyAdams-1_95",4
"JohnQuincyAdams-1_96",4
"JohnQuincyAdams-1_97",7
"JohnQuincyAdams-1_98",7
"JohnQuincyAdams-1_99",11
"JohnQuincyAdams-1_100",11
"JohnQuincyAdams-1_101",11
"JohnQuincyAdams-1_102",2
"JohnQuincyAdams-1_103",4
"JohnQuincyAdams-1_104",7
"JohnQuincyAdams-1_105",4
"JohnQuincyAdams-1_106",4
"JohnQuincyAdams-1_107",4
"JohnQuincyAdams-1_108",4
"JohnQuincyAdams-1_109",5
"JohnQuincyAdams-1_110",5
"JohnQuincyAdams-1_111",5
"AndrewJackson-1_2",5
"AndrewJackson-1_3",5
"AndrewJackson-1_4",10
"AndrewJackson-1_5",5
"AndrewJackson-1_6",10
"AndrewJackson-1_7",10
"AndrewJackson-1_8",10
"AndrewJackson-1_9",1
"AndrewJackson-1_10",1
"AndrewJackson-1_11",1
"AndrewJackson-1_12",1
"AndrewJackson-1_13",15
"AndrewJackson-1_14",11
"AndrewJackson-1_15",11
"AndrewJackson-1_16",11
"AndrewJackson-1_17",11
"AndrewJackson-1_18",11
"AndrewJackson-1_19",3
"AndrewJackson-1_20",2
"AndrewJackson-1_21",2
"AndrewJackson-1_22",15
"AndrewJackson-1_23",4
"AndrewJackson-1_24",5
"AndrewJackson-1_25",5
"AndrewJackson-1_26",5
"AndrewJackson-1_27",4
"AndrewJackson-2_2",5
"AndrewJackson-2_3",4
"AndrewJackson-2_4",15
"AndrewJackson-2_5",4
"AndrewJackson-2_6",15
"AndrewJackson-2_7",10
"AndrewJackson-2_8",10
"AndrewJackson-2_9",10
"AndrewJackson-2_10",10
"AndrewJackson-2_11",10
"AndrewJackson-2_12",10
"AndrewJackson-2_13",10
"AndrewJackson-2_14",10
"AndrewJackson-2_15",10
"AndrewJackson-2_16",2
"AndrewJackson-2_17",2
"AndrewJackson-2_18",1
"AndrewJackson-2_19",11
"AndrewJackson-2_20",11
"AndrewJackson-2_21",13
"AndrewJackson-2_22",4
"AndrewJackson-2_23",4
"AndrewJackson-2_24",1
"AndrewJackson-2_25",6
"AndrewJackson-2_26",7
"AndrewJackson-2_27",10
"AndrewJackson-2_28",9
"AndrewJackson-2_29",9
"AndrewJackson-2_30",4
"AndrewJackson-2_31",5
"AndrewJackson-2_32",10
"AndrewJackson-2_33",10
"AndrewJackson-2_34",1
"AndrewJackson-2_35",3
"AndrewJackson-2_36",3
"MartinvanBuren-1_2",4
"MartinvanBuren-1_3",4
"MartinvanBuren-1_4",4
"MartinvanBuren-1_5",4
"MartinvanBuren-1_6",5
"MartinvanBuren-1_7",5
"MartinvanBuren-1_8",5
"MartinvanBuren-1_9",4
"MartinvanBuren-1_10",4
"MartinvanBuren-1_11",4
"MartinvanBuren-1_12",12
"MartinvanBuren-1_13",12
"MartinvanBuren-1_14",10
"MartinvanBuren-1_15",4
"MartinvanBuren-1_16",4
"MartinvanBuren-1_17",4
"MartinvanBuren-1_18",4
"MartinvanBuren-1_19",4
"MartinvanBuren-1_20",4
