"","V1"
"GeorgeWashington-1_2",1
"GeorgeWashington-1_3",1
"GeorgeWashington-1_4",6
"GeorgeWashington-1_5",6
"GeorgeWashington-1_6",6
"GeorgeWashington-1_7",6
"GeorgeWashington-1_8",6
"GeorgeWashington-1_9",1
"GeorgeWashington-1_10",1
"GeorgeWashington-1_11",1
"GeorgeWashington-1_12",6
"GeorgeWashington-1_13",6
"GeorgeWashington-1_14",1
"GeorgeWashington-1_15",1
"GeorgeWashington-1_16",1
"GeorgeWashington-1_17",1
"GeorgeWashington-1_18",1
"GeorgeWashington-1_19",3
"GeorgeWashington-1_20",3
"GeorgeWashington-1_21",3
"GeorgeWashington-1_22",8
"GeorgeWashington-1_23",8
"GeorgeWashington-1_24",6
"GeorgeWashington-1_25",6
"GeorgeWashington-1_26",6
"GeorgeWashington-1_27",6
"GeorgeWashington-1_28",6
"GeorgeWashington-1_29",6
"GeorgeWashington-1_30",1
"GeorgeWashington-2_2",6
"GeorgeWashington-2_3",6
"JohnAdams-1_2",1
"JohnAdams-1_3",1
"JohnAdams-1_4",1
"JohnAdams-1_5",4
"JohnAdams-1_6",1
"JohnAdams-1_7",6
"JohnAdams-1_8",1
"JohnAdams-1_9",2
"JohnAdams-1_10",1
"JohnAdams-1_11",1
"JohnAdams-1_12",1
"JohnAdams-1_13",8
"JohnAdams-1_14",1
"JohnAdams-1_15",1
"JohnAdams-1_16",1
"JohnAdams-1_17",1
"JohnAdams-1_18",1
"JohnAdams-1_19",3
"JohnAdams-1_20",1
"JohnAdams-1_21",1
"JohnAdams-1_22",3
"JohnAdams-1_23",3
"JohnAdams-1_24",1
"JohnAdams-1_25",1
"JohnAdams-1_26",1
"JohnAdams-1_27",8
"JohnAdams-1_28",9
"JohnAdams-1_29",9
"JohnAdams-1_30",9
"JohnAdams-1_31",1
"JohnAdams-1_32",1
"JohnAdams-1_33",1
"JohnAdams-1_34",5
"JohnAdams-1_35",5
"JohnAdams-1_36",8
"JohnAdams-1_37",3
"JohnAdams-1_38",3
"JohnAdams-1_39",3
"JohnAdams-1_40",3
"JohnAdams-1_41",10
"JohnAdams-1_42",10
"JohnAdams-1_43",10
"JohnAdams-1_44",4
"JohnAdams-1_45",2
"JohnAdams-1_46",2
"JohnAdams-1_47",2
"JohnAdams-1_48",1
"JohnAdams-1_49",6
"JohnAdams-1_50",6
"JohnAdams-1_51",6
"JohnAdams-1_52",6
"JohnAdams-1_53",6
"JohnAdams-1_54",6
"ThomasJefferson-1_2",6
"ThomasJefferson-1_3",6
"ThomasJefferson-1_4",6
"ThomasJefferson-1_5",8
"ThomasJefferson-1_6",8
"ThomasJefferson-1_7",8
"ThomasJefferson-1_8",3
"ThomasJefferson-1_9",10
"ThomasJefferson-1_10",10
"ThomasJefferson-1_11",10
"ThomasJefferson-1_12",10
"ThomasJefferson-1_13",10
"ThomasJefferson-1_14",2
"ThomasJefferson-1_15",2
"ThomasJefferson-1_16",3
"ThomasJefferson-1_17",3
"ThomasJefferson-1_18",3
"ThomasJefferson-1_19",3
"ThomasJefferson-1_20",10
"ThomasJefferson-1_21",10
"ThomasJefferson-1_22",5
"ThomasJefferson-1_23",9
"ThomasJefferson-1_24",5
"ThomasJefferson-1_25",5
"ThomasJefferson-1_26",3
"ThomasJefferson-1_27",3
"ThomasJefferson-1_28",3
"ThomasJefferson-1_29",2
"ThomasJefferson-1_30",1
"ThomasJefferson-1_31",1
"ThomasJefferson-1_32",1
"ThomasJefferson-1_33",4
"ThomasJefferson-1_34",1
"ThomasJefferson-1_35",4
"ThomasJefferson-1_36",3
"ThomasJefferson-1_37",3
"ThomasJefferson-1_38",3
"ThomasJefferson-1_39",3
"ThomasJefferson-1_40",3
"ThomasJefferson-1_41",3
"ThomasJefferson-1_42",3
"ThomasJefferson-1_43",8
"ThomasJefferson-1_44",8
"ThomasJefferson-1_45",4
"ThomasJefferson-1_46",4
"ThomasJefferson-1_47",4
"ThomasJefferson-1_48",4
"ThomasJefferson-1_49",4
"ThomasJefferson-1_50",8
"ThomasJefferson-1_51",6
"ThomasJefferson-1_52",6
"ThomasJefferson-1_53",5
"ThomasJefferson-1_54",5
"ThomasJefferson-1_55",6
"ThomasJefferson-1_56",5
"ThomasJefferson-1_57",6
"ThomasJefferson-1_58",6
"ThomasJefferson-1_59",6
"ThomasJefferson-1_60",1
"ThomasJefferson-1_61",6
"ThomasJefferson-1_62",9
"ThomasJefferson-1_63",6
"ThomasJefferson-2_2",6
"ThomasJefferson-2_3",6
"ThomasJefferson-2_4",2
"ThomasJefferson-2_5",2
"ThomasJefferson-2_6",9
"ThomasJefferson-2_7",2
"ThomasJefferson-2_8",2
"ThomasJefferson-2_9",4
"ThomasJefferson-2_10",4
"ThomasJefferson-2_11",4
"ThomasJefferson-2_12",4
"ThomasJefferson-2_13",4
"ThomasJefferson-2_14",4
"ThomasJefferson-2_15",4
"ThomasJefferson-2_16",2
"ThomasJefferson-2_17",3
"ThomasJefferson-2_18",1
"ThomasJefferson-2_19",9
"ThomasJefferson-2_20",7
"ThomasJefferson-2_21",3
"ThomasJefferson-2_22",3
"ThomasJefferson-2_23",3
"ThomasJefferson-2_24",3
"ThomasJefferson-2_25",2
"ThomasJefferson-2_26",3
"ThomasJefferson-2_27",4
"ThomasJefferson-2_28",4
"ThomasJefferson-2_29",4
"ThomasJefferson-2_30",10
"ThomasJefferson-2_31",1
"ThomasJefferson-2_32",1
"ThomasJefferson-2_33",9
"ThomasJefferson-2_34",6
"ThomasJefferson-2_35",9
"ThomasJefferson-2_36",10
"ThomasJefferson-2_37",1
"ThomasJefferson-2_38",1
"ThomasJefferson-2_39",1
"ThomasJefferson-2_40",6
"ThomasJefferson-2_41",6
"ThomasJefferson-2_42",6
"ThomasJefferson-2_43",6
"ThomasJefferson-2_44",3
"ThomasJefferson-2_45",3
"ThomasJefferson-2_46",3
"ThomasJefferson-2_47",3
"ThomasJefferson-2_48",1
"ThomasJefferson-2_49",1
"ThomasJefferson-2_50",1
"ThomasJefferson-2_51",6
"ThomasJefferson-2_52",8
"ThomasJefferson-2_53",8
"ThomasJefferson-2_54",8
"ThomasJefferson-2_55",8
"ThomasJefferson-2_56",8
"ThomasJefferson-2_57",3
"ThomasJefferson-2_58",8
"ThomasJefferson-2_59",1
"ThomasJefferson-2_60",10
