"","V1"
"ThomasJefferson-2_61",10
"ThomasJefferson-2_62",10
"ThomasJefferson-2_63",1
"ThomasJefferson-2_64",1
"ThomasJefferson-2_65",6
"ThomasJefferson-2_66",1
"ThomasJefferson-2_67",1
"ThomasJefferson-2_68",1
"ThomasJefferson-2_69",6
"ThomasJefferson-2_70",6
"JamesMadison-1_2",1
"JamesMadison-1_3",1
"JamesMadison-1_4",1
"JamesMadison-1_5",1
"JamesMadison-1_6",4
"JamesMadison-1_7",4
"JamesMadison-1_8",4
"JamesMadison-1_9",2
"JamesMadison-1_10",2
"JamesMadison-1_11",9
"JamesMadison-1_12",3
"JamesMadison-1_13",3
"JamesMadison-1_14",1
"JamesMadison-1_15",6
"JamesMadison-1_16",6
"JamesMadison-1_17",2
"JamesMadison-1_18",2
"JamesMadison-1_19",2
"JamesMadison-1_20",8
"JamesMadison-1_21",1
"JamesMadison-1_22",1
"JamesMadison-1_23",3
"JamesMadison-1_24",3
"JamesMadison-1_25",3
"JamesMadison-1_26",3
"JamesMadison-1_27",4
"JamesMadison-1_28",4
"JamesMadison-1_29",4
"JamesMadison-1_30",4
"JamesMadison-1_31",4
"JamesMadison-1_32",10
"JamesMadison-1_33",10
"JamesMadison-1_34",1
"JamesMadison-1_35",1
"JamesMadison-1_36",1
"JamesMadison-2_2",6
"JamesMadison-2_3",6
"JamesMadison-2_4",2
"JamesMadison-2_5",2
"JamesMadison-2_6",2
"JamesMadison-2_7",9
"JamesMadison-2_8",9
"JamesMadison-2_9",3
"JamesMadison-2_10",2
"JamesMadison-2_11",1
"JamesMadison-2_12",1
"JamesMadison-2_13",1
"JamesMadison-2_14",1
"JamesMadison-2_15",2
"JamesMadison-2_16",2
"JamesMadison-2_17",2
"JamesMadison-2_18",2
"JamesMadison-2_19",5
"JamesMadison-2_20",10
"JamesMadison-2_21",10
"JamesMadison-2_22",10
"JamesMadison-2_23",2
"JamesMadison-2_24",1
"JamesMadison-2_25",1
"JamesMadison-2_26",2
"JamesMadison-2_27",2
"JamesMadison-2_28",2
"JamesMadison-2_29",2
"JamesMadison-2_30",1
"JamesMadison-2_31",4
"JamesMadison-2_32",4
"JamesMadison-2_33",4
"JamesMadison-2_34",4
"JamesMadison-2_35",2
"JamesMadison-2_36",1
"JamesMadison-2_37",1
"JamesMadison-2_38",2
"JamesMonroe-1_2",6
"JamesMonroe-1_3",6
"JamesMonroe-1_4",6
"JamesMonroe-1_5",6
"JamesMonroe-1_6",1
"JamesMonroe-1_7",1
"JamesMonroe-1_8",1
"JamesMonroe-1_9",2
"JamesMonroe-1_10",5
"JamesMonroe-1_11",3
"JamesMonroe-1_12",1
"JamesMonroe-1_13",1
"JamesMonroe-1_14",1
"JamesMonroe-1_15",3
"JamesMonroe-1_16",2
"JamesMonroe-1_17",3
"JamesMonroe-1_18",3
"JamesMonroe-1_19",3
"JamesMonroe-1_20",3
"JamesMonroe-1_21",3
"JamesMonroe-1_22",3
"JamesMonroe-1_23",1
"JamesMonroe-1_24",1
"JamesMonroe-1_25",1
"JamesMonroe-1_26",1
"JamesMonroe-1_27",2
"JamesMonroe-1_28",2
"JamesMonroe-1_29",8
"JamesMonroe-1_30",1
"JamesMonroe-1_31",2
"JamesMonroe-1_32",1
"JamesMonroe-1_33",3
"JamesMonroe-1_34",3
"JamesMonroe-1_35",3
"JamesMonroe-1_36",3
"JamesMonroe-1_37",3
"JamesMonroe-1_38",1
"JamesMonroe-1_39",1
"JamesMonroe-1_40",2
"JamesMonroe-1_41",1
"JamesMonroe-1_42",1
"JamesMonroe-1_43",1
"JamesMonroe-1_44",2
"JamesMonroe-1_45",4
"JamesMonroe-1_46",2
"JamesMonroe-1_47",4
"JamesMonroe-1_48",1
"JamesMonroe-1_49",1
"JamesMonroe-1_50",1
"JamesMonroe-1_51",3
"JamesMonroe-1_52",3
"JamesMonroe-1_53",3
"JamesMonroe-1_54",6
"JamesMonroe-1_55",2
"JamesMonroe-1_56",1
"JamesMonroe-1_57",1
"JamesMonroe-1_58",3
"JamesMonroe-1_59",3
"JamesMonroe-1_60",3
"JamesMonroe-1_61",3
"JamesMonroe-1_62",1
"JamesMonroe-1_63",1
"JamesMonroe-1_64",1
"JamesMonroe-1_65",2
"JamesMonroe-1_66",2
"JamesMonroe-1_67",2
"JamesMonroe-1_68",2
"JamesMonroe-1_69",1
"JamesMonroe-1_70",6
"JamesMonroe-1_71",3
"JamesMonroe-1_72",2
"JamesMonroe-1_73",1
"JamesMonroe-1_74",2
"JamesMonroe-1_75",2
"JamesMonroe-1_76",2
"JamesMonroe-1_77",2
"JamesMonroe-1_78",2
"JamesMonroe-1_79",2
"JamesMonroe-1_80",2
"JamesMonroe-1_81",2
"JamesMonroe-1_82",2
"JamesMonroe-1_83",1
"JamesMonroe-1_84",1
"JamesMonroe-1_85",1
"JamesMonroe-1_86",3
"JamesMonroe-1_87",2
"JamesMonroe-1_88",2
"JamesMonroe-1_89",2
"JamesMonroe-1_90",1
"JamesMonroe-1_91",1
"JamesMonroe-1_92",1
"JamesMonroe-1_93",1
"JamesMonroe-1_94",4
"JamesMonroe-1_95",2
"JamesMonroe-1_96",2
"JamesMonroe-1_97",4
"JamesMonroe-1_98",4
"JamesMonroe-1_99",2
"JamesMonroe-1_100",2
"JamesMonroe-1_101",4
"JamesMonroe-1_102",4
"JamesMonroe-1_103",2
"JamesMonroe-1_104",4
"JamesMonroe-1_105",4
"JamesMonroe-1_106",6
"JamesMonroe-1_107",6
"JamesMonroe-1_108",4
"JamesMonroe-1_109",4
"JamesMonroe-1_110",4
"JamesMonroe-1_111",4
"JamesMonroe-1_112",4
"JamesMonroe-1_113",6
"JamesMonroe-1_114",6
"JamesMonroe-1_115",2
"JamesMonroe-1_116",2
"JamesMonroe-1_117",2
"JamesMonroe-1_118",2
"JamesMonroe-1_119",3
"JamesMonroe-1_120",1
"JamesMonroe-1_121",1
"JamesMonroe-1_122",1
"JamesMonroe-1_123",1
"JamesMonroe-1_124",1
"JamesMonroe-1_125",1
"JamesMonroe-1_126",1
"JamesMonroe-1_127",5
"JamesMonroe-1_128",2
"JamesMonroe-1_129",1
"JamesMonroe-1_130",1
"JamesMonroe-1_131",1
"JamesMonroe-1_132",1
"JamesMonroe-1_133",1
"JamesMonroe-1_134",6
"JamesMonroe-1_135",6
"JamesMonroe-2_2",6
"JamesMonroe-2_3",6
"JamesMonroe-2_4",1
"JamesMonroe-2_5",1
"JamesMonroe-2_6",1
"JamesMonroe-2_7",1
"JamesMonroe-2_8",3
"JamesMonroe-2_9",6
"JamesMonroe-2_10",8
"JamesMonroe-2_11",1
"JamesMonroe-2_12",8
"JamesMonroe-2_13",1
"JamesMonroe-2_14",6
"JamesMonroe-2_15",2
"JamesMonroe-2_16",2
"JamesMonroe-2_17",2
"JamesMonroe-2_18",2
"JamesMonroe-2_19",2
"JamesMonroe-2_20",2
"JamesMonroe-2_21",2
"JamesMonroe-2_22",2
"JamesMonroe-2_23",2
"JamesMonroe-2_24",2
"JamesMonroe-2_25",2
"JamesMonroe-2_26",2
"JamesMonroe-2_27",2
"JamesMonroe-2_28",2
"JamesMonroe-2_29",2
"JamesMonroe-2_30",2
"JamesMonroe-2_31",2
"JamesMonroe-2_32",1
"JamesMonroe-2_33",10
"JamesMonroe-2_34",2
"JamesMonroe-2_35",2
"JamesMonroe-2_36",2
"JamesMonroe-2_37",2
"JamesMonroe-2_38",4
"JamesMonroe-2_39",2
"JamesMonroe-2_40",2
"JamesMonroe-2_41",2
"JamesMonroe-2_42",2
"JamesMonroe-2_43",8
"JamesMonroe-2_44",8
"JamesMonroe-2_45",8
"JamesMonroe-2_46",8
"JamesMonroe-2_47",8
"JamesMonroe-2_48",8
"JamesMonroe-2_49",8
"JamesMonroe-2_50",8
"JamesMonroe-2_51",3
"JamesMonroe-2_52",2
"JamesMonroe-2_53",2
"JamesMonroe-2_54",2
"JamesMonroe-2_55",2
"JamesMonroe-2_56",2
"JamesMonroe-2_57",2
"JamesMonroe-2_58",1
"JamesMonroe-2_59",8
"JamesMonroe-2_60",8
"JamesMonroe-2_61",8
"JamesMonroe-2_62",1
"JamesMonroe-2_63",2
"JamesMonroe-2_64",2
"JamesMonroe-2_65",2
"JamesMonroe-2_66",2
"JamesMonroe-2_67",2
"JamesMonroe-2_68",2
"JamesMonroe-2_69",2
"JamesMonroe-2_70",2
"JamesMonroe-2_71",2
"JamesMonroe-2_72",2
"JamesMonroe-2_73",2
"JamesMonroe-2_74",2
"JamesMonroe-2_75",2
"JamesMonroe-2_76",2
"JamesMonroe-2_77",2
"JamesMonroe-2_78",2
"JamesMonroe-2_79",2
"JamesMonroe-2_80",2
"JamesMonroe-2_81",4
"JamesMonroe-2_82",2
"JamesMonroe-2_83",4
"JamesMonroe-2_84",1
"JamesMonroe-2_85",1
"JamesMonroe-2_86",4
"JamesMonroe-2_87",1
"JamesMonroe-2_88",4
"JamesMonroe-2_89",4
"JamesMonroe-2_90",2
"JamesMonroe-2_91",1
"JamesMonroe-2_92",1
"JamesMonroe-2_93",2
"JamesMonroe-2_94",2
"JamesMonroe-2_95",2
"JamesMonroe-2_96",4
"JamesMonroe-2_97",4
"JamesMonroe-2_98",3
"JamesMonroe-2_99",2
"JamesMonroe-2_100",2
"JamesMonroe-2_101",2
"JamesMonroe-2_102",6
"JamesMonroe-2_103",3
"JamesMonroe-2_104",2
"JamesMonroe-2_105",2
"JamesMonroe-2_106",4
"JamesMonroe-2_107",2
"JamesMonroe-2_108",2
"JamesMonroe-2_109",4
"JamesMonroe-2_110",1
"JamesMonroe-2_111",1
"JamesMonroe-2_112",2
"JamesMonroe-2_113",6
"JamesMonroe-2_114",2
"JamesMonroe-2_115",2
"JamesMonroe-2_116",1
"JamesMonroe-2_117",2
"JamesMonroe-2_118",2
"JamesMonroe-2_119",2
"JamesMonroe-2_120",2
"JamesMonroe-2_121",2
"JamesMonroe-2_122",10
"JamesMonroe-2_123",3
"JamesMonroe-2_124",3
"JamesMonroe-2_125",3
"JamesMonroe-2_126",1
"JamesMonroe-2_127",1
"JamesMonroe-2_128",1
"JamesMonroe-2_129",3
"JamesMonroe-2_130",1
"JamesMonroe-2_131",3
"JamesMonroe-2_132",1
"JamesMonroe-2_133",1
"JamesMonroe-2_134",2
"JamesMonroe-2_135",2
"JamesMonroe-2_136",2
"JamesMonroe-2_137",2
"JamesMonroe-2_138",3
"JamesMonroe-2_139",3
"JamesMonroe-2_140",3
"JamesMonroe-2_141",6
"JamesMonroe-2_142",6
"JohnQuincyAdams-1_2",6
"JohnQuincyAdams-1_3",6
"JohnQuincyAdams-1_4",3
"JohnQuincyAdams-1_5",2
"JohnQuincyAdams-1_6",1
"JohnQuincyAdams-1_7",1
"JohnQuincyAdams-1_8",1
"JohnQuincyAdams-1_9",1
"JohnQuincyAdams-1_10",1
"JohnQuincyAdams-1_11",8
"JohnQuincyAdams-1_12",8
"JohnQuincyAdams-1_13",8
"JohnQuincyAdams-1_14",2
"JohnQuincyAdams-1_15",2
"JohnQuincyAdams-1_16",2
"JohnQuincyAdams-1_17",2
"JohnQuincyAdams-1_18",2
"JohnQuincyAdams-1_19",2
"JohnQuincyAdams-1_20",2
"JohnQuincyAdams-1_21",2
"JohnQuincyAdams-1_22",4
"JohnQuincyAdams-1_23",2
"JohnQuincyAdams-1_24",5
"JohnQuincyAdams-1_25",5
"JohnQuincyAdams-1_26",3
"JohnQuincyAdams-1_27",3
"JohnQuincyAdams-1_28",3
"JohnQuincyAdams-1_29",5
"JohnQuincyAdams-1_30",9
"JohnQuincyAdams-1_31",1
"JohnQuincyAdams-1_32",1
"JohnQuincyAdams-1_33",1
"JohnQuincyAdams-1_34",1
"JohnQuincyAdams-1_35",1
"JohnQuincyAdams-1_36",1
"JohnQuincyAdams-1_37",1
"JohnQuincyAdams-1_38",5
"JohnQuincyAdams-1_39",1
"JohnQuincyAdams-1_40",1
"JohnQuincyAdams-1_41",1
"JohnQuincyAdams-1_42",2
"JohnQuincyAdams-1_43",2
"JohnQuincyAdams-1_44",2
"JohnQuincyAdams-1_45",5
"JohnQuincyAdams-1_46",3
"JohnQuincyAdams-1_47",3
"JohnQuincyAdams-1_48",3
"JohnQuincyAdams-1_49",4
"JohnQuincyAdams-1_50",4
"JohnQuincyAdams-1_51",3
"JohnQuincyAdams-1_52",3
"JohnQuincyAdams-1_53",3
"JohnQuincyAdams-1_54",3
"JohnQuincyAdams-1_55",3
"JohnQuincyAdams-1_56",3
"JohnQuincyAdams-1_57",1
"JohnQuincyAdams-1_58",1
"JohnQuincyAdams-1_59",1
"JohnQuincyAdams-1_60",1
"JohnQuincyAdams-1_61",3
"JohnQuincyAdams-1_62",3
"JohnQuincyAdams-1_63",3
"JohnQuincyAdams-1_64",3
"JohnQuincyAdams-1_65",3
"JohnQuincyAdams-1_66",3
"JohnQuincyAdams-1_67",3
"JohnQuincyAdams-1_68",1
"JohnQuincyAdams-1_69",1
"JohnQuincyAdams-1_70",6
"JohnQuincyAdams-1_71",6
"JohnQuincyAdams-1_72",2
"JohnQuincyAdams-1_73",2
"JohnQuincyAdams-1_74",2
"JohnQuincyAdams-1_75",3
"JohnQuincyAdams-1_76",3
"JohnQuincyAdams-1_77",2
"JohnQuincyAdams-1_78",2
"JohnQuincyAdams-1_79",2
"JohnQuincyAdams-1_80",3
"JohnQuincyAdams-1_81",2
"JohnQuincyAdams-1_82",2
"JohnQuincyAdams-1_83",4
"JohnQuincyAdams-1_84",4
"JohnQuincyAdams-1_85",4
"JohnQuincyAdams-1_86",2
"JohnQuincyAdams-1_87",2
"JohnQuincyAdams-1_88",2
"JohnQuincyAdams-1_89",2
"JohnQuincyAdams-1_90",2
"JohnQuincyAdams-1_91",2
"JohnQuincyAdams-1_92",6
"JohnQuincyAdams-1_93",3
"JohnQuincyAdams-1_94",1
"JohnQuincyAdams-1_95",1
"JohnQuincyAdams-1_96",1
"JohnQuincyAdams-1_97",8
"JohnQuincyAdams-1_98",1
"JohnQuincyAdams-1_99",1
"JohnQuincyAdams-1_100",3
"JohnQuincyAdams-1_101",2
"JohnQuincyAdams-1_102",1
"JohnQuincyAdams-1_103",1
"JohnQuincyAdams-1_104",8
"JohnQuincyAdams-1_105",1
"JohnQuincyAdams-1_106",1
"JohnQuincyAdams-1_107",1
"JohnQuincyAdams-1_108",6
"JohnQuincyAdams-1_109",6
"JohnQuincyAdams-1_110",6
"JohnQuincyAdams-1_111",6
"AndrewJackson-1_2",6
"AndrewJackson-1_3",6
"AndrewJackson-1_4",3
"AndrewJackson-1_5",6
"AndrewJackson-1_6",3
"AndrewJackson-1_7",3
"AndrewJackson-1_8",3
"AndrewJackson-1_9",9
"AndrewJackson-1_10",4
"AndrewJackson-1_11",4
"AndrewJackson-1_12",1
"AndrewJackson-1_13",2
"AndrewJackson-1_14",2
"AndrewJackson-1_15",2
"AndrewJackson-1_16",2
"AndrewJackson-1_17",2
"AndrewJackson-1_18",2
"AndrewJackson-1_19",9
"AndrewJackson-1_20",9
"AndrewJackson-1_21",2
"AndrewJackson-1_22",1
"AndrewJackson-1_23",1
"AndrewJackson-1_24",6
"AndrewJackson-1_25",6
"AndrewJackson-1_26",6
"AndrewJackson-1_27",6
"AndrewJackson-2_2",6
"AndrewJackson-2_3",1
"AndrewJackson-2_4",1
"AndrewJackson-2_5",1
"AndrewJackson-2_6",1
"AndrewJackson-2_7",3
"AndrewJackson-2_8",3
"AndrewJackson-2_9",3
"AndrewJackson-2_10",3
"AndrewJackson-2_11",3
"AndrewJackson-2_12",3
"AndrewJackson-2_13",3
"AndrewJackson-2_14",3
"AndrewJackson-2_15",3
"AndrewJackson-2_16",3
"AndrewJackson-2_17",3
"AndrewJackson-2_18",2
"AndrewJackson-2_19",2
"AndrewJackson-2_20",2
"AndrewJackson-2_21",2
"AndrewJackson-2_22",2
"AndrewJackson-2_23",9
"AndrewJackson-2_24",6
"AndrewJackson-2_25",8
"AndrewJackson-2_26",3
"AndrewJackson-2_27",1
"AndrewJackson-2_28",2
"AndrewJackson-2_29",6
"AndrewJackson-2_30",7
"AndrewJackson-2_31",6
"AndrewJackson-2_32",3
"AndrewJackson-2_33",3
"AndrewJackson-2_34",4
"AndrewJackson-2_35",6
"AndrewJackson-2_36",6
"MartinvanBuren-1_2",6
"MartinvanBuren-1_3",6
"MartinvanBuren-1_4",6
"MartinvanBuren-1_5",6
"MartinvanBuren-1_6",6
"MartinvanBuren-1_7",6
"MartinvanBuren-1_8",6
"MartinvanBuren-1_9",6
"MartinvanBuren-1_10",1
"MartinvanBuren-1_11",1
"MartinvanBuren-1_12",3
"MartinvanBuren-1_13",3
"MartinvanBuren-1_14",9
"MartinvanBuren-1_15",1
"MartinvanBuren-1_16",1
"MartinvanBuren-1_17",1
"MartinvanBuren-1_18",1
"MartinvanBuren-1_19",1
"MartinvanBuren-1_20",1
"MartinvanBuren-1_21",1
"MartinvanBuren-1_22",1
"MartinvanBuren-1_23",1
"MartinvanBuren-1_24",3
"MartinvanBuren-1_25",3
"MartinvanBuren-1_26",3
"MartinvanBuren-1_27",3
"MartinvanBuren-1_28",3
"MartinvanBuren-1_29",5
"MartinvanBuren-1_30",1
"MartinvanBuren-1_31",2
"MartinvanBuren-1_32",10
"MartinvanBuren-1_33",2
"MartinvanBuren-1_34",1
"MartinvanBuren-1_35",1
"MartinvanBuren-1_36",1
"MartinvanBuren-1_37",1
"MartinvanBuren-1_38",1
"MartinvanBuren-1_39",1
"MartinvanBuren-1_40",1
"MartinvanBuren-1_41",1
"MartinvanBuren-1_42",1
"MartinvanBuren-1_43",1
"MartinvanBuren-1_44",4
"MartinvanBuren-1_45",4
"MartinvanBuren-1_46",4
"MartinvanBuren-1_47",6
"MartinvanBuren-1_48",1
"MartinvanBuren-1_49",1
"MartinvanBuren-1_50",1
"MartinvanBuren-1_51",1
"MartinvanBuren-1_52",6
"MartinvanBuren-1_53",3
"MartinvanBuren-1_54",1
"MartinvanBuren-1_55",1
"MartinvanBuren-1_56",1
"MartinvanBuren-1_57",1
"MartinvanBuren-1_58",1
"MartinvanBuren-1_59",1
"MartinvanBuren-1_60",1
"MartinvanBuren-1_61",1
"MartinvanBuren-1_62",1
"MartinvanBuren-1_63",2
"MartinvanBuren-1_64",4
"MartinvanBuren-1_65",2
"MartinvanBuren-1_66",2
"MartinvanBuren-1_67",2
"MartinvanBuren-1_68",1
"MartinvanBuren-1_69",1
"MartinvanBuren-1_70",1
"MartinvanBuren-1_71",1
"MartinvanBuren-1_72",1
"MartinvanBuren-1_73",1
"MartinvanBuren-1_74",1
"MartinvanBuren-1_75",1
"MartinvanBuren-1_76",3
"MartinvanBuren-1_77",2
"MartinvanBuren-1_78",1
"MartinvanBuren-1_79",1
"MartinvanBuren-1_80",1
"MartinvanBuren-1_81",3
"MartinvanBuren-1_82",1
"MartinvanBuren-1_83",1
"MartinvanBuren-1_84",1
"MartinvanBuren-1_85",1
"MartinvanBuren-1_86",1
"MartinvanBuren-1_87",1
"MartinvanBuren-1_88",6
"MartinvanBuren-1_89",6
"MartinvanBuren-1_90",8
"MartinvanBuren-1_91",8
"MartinvanBuren-1_92",8
"MartinvanBuren-1_93",8
"MartinvanBuren-1_94",1
"MartinvanBuren-1_95",1
"MartinvanBuren-1_96",1
"MartinvanBuren-1_97",1
"MartinvanBuren-1_98",1
"MartinvanBuren-1_99",1
"MartinvanBuren-1_100",1
"MartinvanBuren-1_101",1
"MartinvanBuren-1_102",1
"MartinvanBuren-1_103",1
"MartinvanBuren-1_104",1
"MartinvanBuren-1_105",1
"MartinvanBuren-1_106",1
"MartinvanBuren-1_107",1
"MartinvanBuren-1_108",1
"MartinvanBuren-1_109",3
"MartinvanBuren-1_110",3
"MartinvanBuren-1_111",3
"MartinvanBuren-1_112",3
"MartinvanBuren-1_113",3
"MartinvanBuren-1_114",3
"MartinvanBuren-1_115",8
"MartinvanBuren-1_116",6
"MartinvanBuren-1_117",6
"MartinvanBuren-1_118",2
"MartinvanBuren-1_119",1
"MartinvanBuren-1_120",2
"MartinvanBuren-1_121",2
"MartinvanBuren-1_122",2
"MartinvanBuren-1_123",2
"MartinvanBuren-1_124",2
"MartinvanBuren-1_125",6
"MartinvanBuren-1_126",6
"MartinvanBuren-1_127",6
"MartinvanBuren-1_128",6
"MartinvanBuren-1_129",6
"MartinvanBuren-1_130",6
"MartinvanBuren-1_131",6
"MartinvanBuren-1_132",6
"WilliamHenryHarrison-1_2",6
"WilliamHenryHarrison-1_3",6
"WilliamHenryHarrison-1_4",1
"WilliamHenryHarrison-1_5",8
"WilliamHenryHarrison-1_6",6
"WilliamHenryHarrison-1_7",6
"WilliamHenryHarrison-1_8",6
"WilliamHenryHarrison-1_9",6
"WilliamHenryHarrison-1_10",6
"WilliamHenryHarrison-1_11",3
"WilliamHenryHarrison-1_12",3
"WilliamHenryHarrison-1_13",3
"WilliamHenryHarrison-1_14",3
"WilliamHenryHarrison-1_15",3
"WilliamHenryHarrison-1_16",3
"WilliamHenryHarrison-1_17",3
"WilliamHenryHarrison-1_18",3
"WilliamHenryHarrison-1_19",3
"WilliamHenryHarrison-1_20",3
"WilliamHenryHarrison-1_21",8
"WilliamHenryHarrison-1_22",8
"WilliamHenryHarrison-1_23",8
"WilliamHenryHarrison-1_24",3
"WilliamHenryHarrison-1_25",3
"WilliamHenryHarrison-1_26",3
"WilliamHenryHarrison-1_27",3
"WilliamHenryHarrison-1_28",3
